# Notion-Writeback-Log · 2026-04-22T22:15:17.314400
# Gesamt geschrieben: 56 Einträge (alle 🟢 mit mindestens einem sicheren Vorschlagswert)
# Nicht geschrieben (von Experten zu klären): ESCADA Foyer (🔴), Brauerei Bernard (🟡), Tiefbau-Betonreparatur (🔵), 6 untagged (⚪)
#
# Format: [OK] <uuid> | <title> | <gesetzte Felder>

[OK] 2e9670e1-9e1a-81ff-9fff-e683d407a903 | Aalto-Universität Dipoli, Espoo (2017) | Sanierungsart=Großflächig; Zusatzfunktion=[Fleckenabwehr]
[OK] 2e9670e1-9e1a-81d1-b149-c3cde9f3464f | Altstadt Pflaster, Esslingen (2021) | Sanierungsart=Punktuell; Dringlichkeit=Schnell; Zusatzfunktion=[Rutschhemmung]
[OK] 2e9670e1-9e1a-81ea-8759-f7fa9db3998c | Altstadt Pflaster, Lenningen (2018) | Sanierungsart=Punktuell; Dringlichkeit=Schnell; Zusatzfunktion=[Rutschhemmung]
[OK] 2e8670e1-9e1a-813f-ad90-d1881d39fce1 | Antolin, Ebergassing (2018) | Sanierungsart=Großflächig; Einsatzbereich=[Industrie- & Produktionshalle]; Dringlichkeit=Schnell
[OK] 2e8670e1-9e1a-811e-8fb8-d80c02dbf467 | apt Extrusions, Monheim am Rhein (2021/2022) | Sanierungsart=Großflächig; Einsatzbereich=[Industrie- & Produktionshalle, Infrastruktur & Zufahrten]; Dringlichkeit=Schnell; Zusatzfunktion=[Tausalzbeständigkeit]
[OK] 2e8670e1-9e1a-816f-9a34-c63cde9e7ef0 | Autohaus Asphaltsanierung, Versmold (2023) | Einsatzbereich=[Industrie- & Produktionshalle]; Dringlichkeit=Schnell; Zusatzfunktion=[Tausalzbeständigkeit]
[OK] 2e9670e1-9e1a-81a5-93ec-c8eb30ccf827 | Barmenia Parkhaus, Wuppertal (2015) | Sanierungsart=Großflächig; Einsatzbereich=[Parkdeck]; Dringlichkeit=Schnell
[OK] 2e9670e1-9e1a-8104-b93a-c7f30c4d50cc | Bohnenkamp, Essenbach (2019) | Sanierungsart=Punktuell; Einsatzbereich=[Lager & Logistik]
[OK] 2e9670e1-9e1a-817f-a606-ee867755a88c | Bonsai Group, Guernsey (2015) | Sanierungsart=Großflächig; Einsatzbereich=[Verkaufsräume]; Zusatzfunktion=[Fleckenabwehr]
[OK] 2e8670e1-9e1a-8140-a6ce-e026aaf876ff | Brückensanierung, Amberg (2012) | Sanierungsart=Punktuell; Einsatzbereich=[Infrastruktur & Zufahrten]; Dringlichkeit=Schnell; Zusatzfunktion=[Tausalzbeständigkeit, Rutschhemmung]
[OK] 2e8670e1-9e1a-815a-a2a5-e1893c5fb99b | Burger King, Münster-Hiltrup (2021) | Sanierungsart=Großflächig; Einsatzbereich=[Lebensmittel, Verkaufsräume]; Dringlichkeit=Schnell; Zusatzfunktion=[Tausalzbeständigkeit]
[OK] 2e8670e1-9e1a-8130-a61a-fc2d883ff34c | Decathlon, Dortmund-Aplerbeck (2023) | Sanierungsart=Großflächig; Einsatzbereich=[Verkaufsräume]; Dringlichkeit=Schnell
[OK] 2e9670e1-9e1a-8180-8a06-f8e7d4ec5df0 | DHL Paketzentrum, Ottendorf-Okrilla (2017) | Sanierungsart=Punktuell; Einsatzbereich=[Lager & Logistik, Infrastruktur & Zufahrten]; Dringlichkeit=Schnell; Zusatzfunktion=[Tausalzbeständigkeit]
[OK] 2e8670e1-9e1a-8198-a3c7-e38a9af81bcb | Fahrbahnsanierung, Wien (2020) | Sanierungsart=Punktuell; Einsatzbereich=[Infrastruktur & Zufahrten]; Dringlichkeit=Schnell; Zusatzfunktion=[Tausalzbeständigkeit]
[OK] 2e9670e1-9e1a-812f-aff4-cb1d4d973a57 | Familie Lerch / Zwicker, Marktoberdorf (2018) | Zusatzfunktion=[Tausalzbeständigkeit, Rutschhemmung]
[OK] 2e8670e1-9e1a-8176-8522-e12227517411 | FH Lichtschacht, Nürnberg (2012) | Sanierungsart=Punktuell; Einsatzbereich=[Infrastruktur & Zufahrten]; Dringlichkeit=Schnell; Zusatzfunktion=[Tausalzbeständigkeit]
[OK] 2e9670e1-9e1a-81af-9ce3-d9f5b97662bf | Fraport, Frankfurt/Main (2012) | Sanierungsart=Großflächig; Einsatzbereich=[Lager & Logistik, Flugzeug, Infrastruktur & Zufahrten]; Dringlichkeit=Schnell
[OK] 2e8670e1-9e1a-819b-b176-dfbee05ca791 | Hafen-Zufahrt, Catania (2024) | Sanierungsart=Großflächig; Einsatzbereich=[Lager & Logistik, Infrastruktur & Zufahrten, Verkaufsräume]; Dringlichkeit=Schnell; Zusatzfunktion=[Tausalzbeständigkeit]
[OK] 2e9670e1-9e1a-81cd-a0e1-d9ee790448e2 | Hochbehälter Krottenbach, Nürnberg (2009) | Sanierungsart=Großflächig; Einsatzbereich=[Trinkwasser]
[OK] 2e9670e1-9e1a-813c-927c-d09d15918039 | John Lewis Lager, Stevenage (2013) | Sanierungsart=Großflächig; Einsatzbereich=[Lager & Logistik, Verkaufsräume]; Dringlichkeit=Schnell
